NAME,VERSION,00_content,01_permissions,02_symlink_broken,03_symlink_basic,10_mtime,11_comment,12_symlink_cycle,13_setuid_setgid,20_sticky,21_hidden,22_access_control_list,23_ownership,30_ascii_names,31_uchg,32_finderinfo_icon,33_finderinfo_color,34_dot_underscore,40_xattr_ordering,41_symlink_hidden,42_xattr_symlink,50_hardlink_file,51_symlink_permissions,52_char,53_block,60_alias,61_fifo,62_resource_fork,70_extended_attributes,71_lutimes,72_birthtime,80_epoch,81_hardlink_fifo,82_symlink_acl,90_hardlink_dir,91_bkuptime,SCORE%
00_cp,versionless,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,CODE 2,FAIL AB,OK,OK,OK,CODE 2,OK,CODE 2,OK,FAIL A,FAIL A,FAIL AB,FAIL A,CODE 2,CODE 2,CODE 2,62
01_ditto,versionless,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,OK,OK,OK,OK,OK,CODE 2,FAIL A,OK,OK,CODE 2,OK,FAIL B,OK,OK,CODE 2,FAIL AB,CODE 2,OK,FAIL A,FAIL A,FAIL AB,FAIL XYABC,CODE 2,CODE 2,CODE 2,57
02_pax,versionless,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,OK,OK,OK,FAIL A,OK,CODE 2,OK,OK,FAIL A,CODE 2,OK,FAIL B,OK,OK,CODE 2,OK,CODE 2,OK,FAIL A,FAIL A,FAIL AB,OK,CODE 2,CODE 2,CODE 2,60
03_cpio,versionless,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,FAIL ABC,OK,OK,OK,FAIL AB,CODE 2,OK,FAIL AB,OK,CODE 2,OK,OK,OK,OK,CODE 2,OK,CODE 2,FAIL ABC,OK,OK,OK,OK,CODE 2,CODE 2,CODE 2,65
04_tar,bsdtar 2.8.3 - libarchive 2.8.3,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,OK,OK,OK,OK,OK,CODE 2,FAIL A,OK,OK,CODE 2,OK,OK,OK,OK,CODE 2,OK,CODE 2,FAIL A,OK,OK,OK,OK,CODE 2,CODE 2,CODE 2,71
05_gnutar,tar (GNU tar) 1.17,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,OK,OK,OK,FAIL A,OK,CODE 2,FAIL A,OK,OK,CODE 2,OK,FAIL B,OK,OK,CODE 2,OK,CODE 2,FAIL A,FAIL A,FAIL A,FAIL AB,FAIL A,CODE 2,CODE 2,CODE 2,54
06_cpmac,versionless,OK,OK,OK,OK,FAIL A,CODE 2,OK,FAIL ABCD,FAIL AB,OK,FAIL ABC,FAIL AB,OK,OK,OK,CODE 2,OK,FAIL AB,OK,CODE 2,FAIL AB,FAIL B,FAIL A,FAIL A,CODE 2,FAIL A,CODE 2,FAIL ABC,FAIL AB,FAIL A,FAIL ABCD,FAIL ABC,CODE 2,CODE 2,CODE 2,31
20_nsfilemanager,NOT INSTALLED,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,0
40_finder,10.6.2,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,OK,FAIL AB,OK,OK,OK,CODE 2,FAIL A,OK,OK,CODE 2,FAIL AB,OK,FAIL AB,FAIL AB,CODE 2,FAIL AB,CODE 2,OK,OK,OK,OK,FAIL XYABC,CODE 2,CODE 2,CODE 2,57
41_mucommander,0.8.5,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 2,CODE 2,0
